gender,season,occasion,dress_type,product,shoes,accessory,color,fabric,budget
male,spring,barat,eastern,kurta + pajama,peshawari chappal,watch,gold,chiffon,3547
male,summer,christmas,eastern,shalwar kameez,khussa,cap,red,cotton,9972
female,autumn,wedding,eastern,kurti + trouser,khussa,handbag + earrings,gold,linen,9808
female,winter,barat,western,sweater + jeans,sneakers,necklace,red,denim,14531
female,summer,walima,western,top + baggy jeans,boots,necklace,silver,linen,11927
male,autumn,eid,eastern,kurta + waistcoat,peshawari chappal,cap + watch,pastel,linen,8087
male,autumn,casual,eastern,kurta + waistcoat,peshawari chappal,cap,navy,linen,3253
female,spring,office,eastern,kurti + plazo,sandals,handbag + earrings,orange,cotton,11257
male,winter,casual,eastern,shalwar kameez + shawl,peshawari chappal,belt + cap,red,wool,12630
male,spring,walima,western,dress shirt + chinos,sneakers,watch,white,chiffon,3542
female,winter,wedding,eastern,kurta + shawl,flats,earrings,gold,leather,15509
female,winter,office,eastern,kurta + shawl,khussa,necklace,brown,leather,17105
male,summer,walima,eastern,shalwar kameez,khussa,cap + belt,silver,lawn,4825
male,autumn,barat,eastern,kurta + waistcoat,peshawari chappal,watch,maroon,linen,4400
female,spring,wedding,western,dress shirt + pants,sneakers,handbag + bracelet,red,cotton,18040
female,winter,christmas,eastern,kurta + shawl,sandals,bracelet,red,wool,14307
female,summer,barat,eastern,long frock + tights,flats,handbag,red,linen,7752
male,summer,eid,western,hawaiian shirt + chinos,sneakers,watch + belt,white,lawn,17541
female,autumn,wedding,eastern,kurti + trouser,flats,bracelet + necklace,red,denim,4791
female,summer,barat,western,dress,sandals,earrings + bracelet,maroon,linen,6182
female,autumn,casual,western,light jacket + top + jeans,sneakers,bracelet + necklace,red,denim,6813
female,summer,eid,eastern,long frock + tights,sandals,earrings + handbag,pastel,cotton,8912
male,autumn,eid,eastern,kurta + waistcoat,peshawari chappal,watch,pastel,linen,16133
female,winter,office,western,hoodie + baggy jeans,sneakers,bracelet,orange,leather,8530
male,autumn,mehndi,eastern,kurta + waistcoat,khussa,watch,yellow,denim,6939
male,winter,casual,western,hoodie + jeans,formal shoes,cap,silver,leather,7291
female,winter,christmas,eastern,long frock + coat,khussa,necklace,green,denim,6278
male,summer,walima,eastern,shalwar kameez,peshawari chappal,watch,silver,linen,10689
male,spring,christmas,eastern,kurta + pajama,peshawari chappal,watch,red,chiffon,13610
male,autumn,wedding,western,light jacket + chinos,boots,belt,gold,denim,9955
female,winter,barat,western,turtle neck + coat,heels,necklace,maroon,denim,13069
male,autumn,office,eastern,kurta + waistcoat,peshawari chappal,belt,purple,linen,14320
female,summer,wedding,eastern,kurti + trouser,sandals,bracelet,gold,lawn,1357
female,autumn,eid,eastern,kurti + trouser,sandals,bracelet,white,linen,4740
female,spring,eid,eastern,kurti + plazo,sandals,bracelet,pastel,cotton,15491
female,winter,walima,western,sweater + jeans,boots,bracelet,white,wool,15830
female,autumn,office,western,light jacket + top + jeans,sandals,bracelet + necklace,brown,linen,7668
male,summer,mehndi,eastern,kurta + pajama,khussa,watch,yellow,cotton,5722
male,winter,office,western,hoodie + jeans,formal shoes,watch,beige,denim,6618
male,winter,wedding,eastern,shalwar kameez + shawl,peshawari chappal,cap,maroon,denim,3540
female,winter,eid,eastern,kurta + shawl,khussa,bracelet + handbag,white,wool,14303
female,summer,office,western,top + baggy jeans,boots,necklace,brown,cotton,9514
female,spring,casual,eastern,kurti + plazo,khussa,earrings + handbag,brown,cotton,16424
female,winter,casual,eastern,long frock + coat,flats,bracelet,gold,denim,3467
female,summer,mehndi,eastern,short frock + plazo,flats,bracelet + handbag,orange,lawn,16917
female,autumn,barat,eastern,kurti + trouser,khussa,bracelet + handbag,red,linen,15037
female,summer,wedding,eastern,long frock + tights,khussa,handbag,maroon,cotton,17066
male,spring,wedding,western,blazer + jeans,boots,cap,maroon,chiffon,19784
male,autumn,office,eastern,kurta + waistcoat,khussa,cap,orange,linen,12504
male,summer,walima,western,t shirt + jeans,boots,watch,white,linen,9257
female,autumn,christmas,western,light jacket + top + jeans,boots,earrings,green,linen,11631
female,summer,casual,western,top + baggy jeans,boots,handbag,navy,cotton,2704
female,autumn,office,eastern,kurti + trouser,khussa,necklace,maroon,linen,2012
female,spring,casual,western,dress shirt + pants,boots,handbag,brown,chiffon,4770
female,summer,casual,eastern,short frock + plazo,flats,earrings + necklace,brown,lawn,15994
male,autumn,barat,eastern,kurta + waistcoat,khussa,watch + cap,maroon,linen,8057
female,spring,mehndi,western,dress shirt + pants,sandals,earrings + handbag,yellow,cotton,5960
male,winter,walima,eastern,shalwar kameez + shawl,khussa,belt + watch,white,wool,10705
female,summer,eid,eastern,kurti + trouser,flats,earrings,white,linen,4410
female,autumn,casual,western,light jacket + top + jeans,heels,handbag + bracelet,navy,linen,7973
male,spring,office,western,blazer + jeans,loafers,belt + cap,gold,cotton,6858
female,winter,casual,western,hoodie + baggy jeans,boots,necklace + handbag,gold,wool,15003
female,spring,wedding,western,top + jeans,heels,necklace + bracelet,maroon,cotton,14586
male,summer,mehndi,eastern,kurta + pajama,khussa,watch + cap,yellow,cotton,12982
male,spring,casual,eastern,kurta + pajama,peshawari chappal,cap,maroon,chiffon,8887
female,autumn,christmas,eastern,kurti + trouser,khussa,earrings,green,denim,12148
female,autumn,casual,western,light jacket + top + jeans,heels,handbag,blue,denim,1623
male,spring,wedding,western,t shirt + joggers,boots,cap,gold,chiffon,5848
female,spring,casual,western,dress shirt + pants,sneakers,earrings,beige,cotton,18321
female,autumn,office,western,light jacket + top + jeans,heels,earrings + necklace,red,linen,17038
female,winter,barat,western,turtle neck + coat,sandals,handbag + bracelet,gold,wool,12499
female,summer,walima,eastern,long frock + tights,flats,earrings,silver,cotton,11478
female,winter,eid,western,turtle neck + coat,heels,necklace + bracelet,white,wool,10965
female,winter,barat,western,sweater + jeans,boots,earrings + bracelet,red,denim,13359
female,autumn,mehndi,western,light jacket + top + jeans,boots,handbag + necklace,yellow,denim,17037
male,summer,eid,western,hawaiian shirt + chinos,loafers,cap + watch,white,linen,5162
female,summer,office,eastern,short frock + plazo,flats,handbag,blue,cotton,2050
female,autumn,office,eastern,kurti + trouser,khussa,handbag,pink,linen,9358
male,spring,office,western,dress shirt + chinos,formal shoes,watch,purple,cotton,9412
male,spring,barat,eastern,kurta + pajama,khussa,belt + watch,maroon,cotton,7560
female,winter,casual,eastern,kurta + shawl,sandals,earrings,red,leather,15894
female,winter,casual,western,turtle neck + coat,sneakers,bracelet,orange,wool,16750
male,winter,christmas,western,jacket + jeans,loafers,watch + belt,red,denim,1335
male,spring,mehndi,western,t shirt + joggers,sneakers,watch + cap,yellow,cotton,1179
male,spring,barat,eastern,kurta + pajama,peshawari chappal,cap,maroon,chiffon,9862
male,spring,casual,eastern,kurta + pajama,peshawari chappal,belt,pink,chiffon,18042
male,winter,wedding,eastern,shalwar kameez + shawl,peshawari chappal,watch,red,wool,8971
male,autumn,office,western,light jacket + chinos,sneakers,belt,maroon,denim,16370
female,summer,mehndi,western,t shirt + skirt,sneakers,handbag,green,linen,10025
male,winter,christmas,eastern,kurta + waistcoat,peshawari chappal,cap,red,denim,13553
male,spring,wedding,western,dress shirt + chinos,formal shoes,belt,maroon,chiffon,17307
male,summer,eid,eastern,shalwar kameez,khussa,belt,white,linen,9783
male,winter,christmas,eastern,kurta + waistcoat,khussa,belt,red,denim,14168
male,winter,wedding,eastern,kurta + waistcoat,khussa,belt,gold,leather,11398
female,summer,eid,eastern,short frock + plazo,flats,bracelet,pastel,cotton,16613
male,summer,barat,eastern,kurta + pajama,peshawari chappal,cap,gold,lawn,8226
female,autumn,office,western,light jacket + top + jeans,sneakers,earrings,white,denim,13870
male,autumn,walima,eastern,kurta + waistcoat,khussa,cap,white,linen,1462
male,winter,office,eastern,kurta + waistcoat,peshawari chappal,cap + watch,pink,leather,10696
male,summer,walima,western,t shirt + jeans,sneakers,cap,silver,linen,1009
female,winter,mehndi,eastern,kurta + shawl,flats,earrings + bracelet,orange,denim,13895
male,spring,barat,eastern,kurta + pajama,khussa,watch + cap,maroon,cotton,18147
female,autumn,barat,western,light jacket + top + jeans,sandals,necklace,maroon,denim,13236
female,winter,wedding,western,hoodie + baggy jeans,sandals,bracelet + necklace,red,denim,4999
female,summer,eid,eastern,long frock + tights,khussa,earrings,white,cotton,18750
female,winter,mehndi,eastern,kurta + shawl,khussa,earrings,green,denim,11877
female,autumn,office,eastern,kurti + trouser,khussa,necklace,brown,denim,19345
female,summer,mehndi,western,top + baggy jeans,sneakers,bracelet,green,cotton,19483
male,spring,mehndi,western,t shirt + joggers,loafers,cap,green,chiffon,14855
female,summer,eid,western,top + baggy jeans,sneakers,earrings,white,linen,6767
female,winter,office,eastern,kurta + shawl,khussa,bracelet,silver,denim,17736
female,winter,barat,western,sweater + jeans,heels,necklace,maroon,denim,13241
female,spring,office,eastern,kurti + plazo,khussa,earrings + bracelet,green,chiffon,16703
female,winter,walima,western,hoodie + baggy jeans,sandals,bracelet + necklace,silver,denim,12508
